,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,,,,,0.9264305177111717,0.9550561797752809,0.8994708994708994,378.0,,,,,0.6447368421052632,0.5632183908045977,0.7538461538461538,65.0,0.911965811965812,0.5346153846153846,0.2,0.6447368421052632,0.7855836799082174,0.7591372852899393,0.8266585266585267,443,0.8781038374717833,0.8781038374717833,0.8781038374717833,443,xgboost,,0.5632183908045977,0.7538461538461538,0.8850984885590631,0.8975630504680701,0.8781038374717833,443
0,,,,,0.9278350515463917,0.9045226130653267,0.9523809523809523,378.0,,,,,0.4909090909090909,0.6,0.4153846153846154,65.0,0.8831094831094831,0.31153846153846154,0.5,0.4909090909090909,0.7093720712277413,0.7522613065326633,0.6838827838827839,443,0.873589164785553,0.873589164785553,0.873589164785553,443,adaboost,,0.6,0.4153846153846154,0.8637262762835823,0.8598409655500983,0.873589164785553,443
0,,,,,0.9124668435013262,0.9148936170212766,0.91005291005291,378.0,,,,,0.5,0.4925373134328358,0.5076923076923077,65.0,0.8010785510785512,0.31153846153846154,0.225,0.5,0.7062334217506632,0.7037154652270562,0.7088726088726088,443,0.8510158013544018,0.8510158013544018,0.8510158013544018,443,gradientboost,,0.4925373134328358,0.5076923076923077,0.8519468777505673,0.8529226018220697,0.8510158013544018,443
0,,,,,0.9401041666666666,0.9256410256410257,0.955026455026455,378.0,,,,,0.6101694915254237,0.6792452830188679,0.5538461538461539,65.0,0.8457061457061458,0.45576923076923076,0.4,0.6101694915254237,0.7751368290960452,0.8024431543299468,0.7544363044363045,443,0.8961625282167043,0.8961625282167043,0.8961625282167043,443,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.6792452830188679,0.5538461538461539,0.891693887018403,0.8894881514413863,0.8961625282167043,443
0,0.9402390438247011,0.959349593495935,0.921875,256.0,,,,,0.5,0.42857142857142855,0.6,25.0,,,,,0.8821875,0.3,0.125,0.5,0.7201195219123506,0.6939605110336817,0.7609375,281,0.8932384341637011,0.8932384341637011,0.8932384341637011,281,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (3, 3), 'mlpc__learning_rate_init': 0.001}",0.42857142857142855,0.6,0.901071869107201,0.9121273368300535,0.8932384341637011,281
0,0.9349112426035503,0.9442231075697212,0.92578125,256.0,,,,,0.4,0.36666666666666664,0.44,25.0,,,,,0.7321875000000001,0.155,0.30000000000000004,0.4,0.6674556213017752,0.6554448871181939,0.682890625,281,0.8825622775800712,0.8825622775800712,0.8825622775800712,281,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 70}",0.36666666666666664,0.44,0.8873212744003874,0.8928390825783462,0.8825622775800712,281
0,0.9446640316205533,0.956,0.93359375,256.0,,,,,0.5,0.45161290322580644,0.56,25.0,,,,,0.83015625,0.305,0.875,0.5,0.7223320158102766,0.7038064516129032,0.746796875,281,0.900355871886121,0.900355871886121,0.900355871886121,281,naive_bayes,{'nb__alpha': 0.75},0.45161290322580644,0.56,0.9051031747148102,0.9111257031339686,0.900355871886121,281
0,0.9411764705882353,0.9789029535864979,0.90625,256.0,,,,,0.5797101449275363,0.45454545454545453,0.8,25.0,,,,,0.9009375,0.44,0.2,0.5797101449275363,0.7604433077578858,0.7167242040659763,0.853125,281,0.8967971530249111,0.896797153024911,0.896797153024911,281,logistic_regression,"{'lr__C': 78.47599703514607, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.45454545454545453,0.8,0.9090175448177105,0.9322519305401418,0.896797153024911,281
0,0.9298597194388777,0.9547325102880658,0.90625,256.0,,,,,0.4444444444444444,0.3684210526315789,0.56,25.0,,,,,0.853125,0.2,0.2,0.4444444444444444,0.687152081941661,0.6615767814598223,0.733125,281,0.8754448398576512,0.8754448398576512,0.8754448398576512,281,xgboost,,0.3684210526315789,0.56,0.8866733070728249,0.9025695692154246,0.8754448398576512,281
0,0.9481765834932822,0.9320754716981132,0.96484375,256.0,,,,,0.34146341463414637,0.4375,0.28,25.0,,,,,0.8603125,0.145,0.5,0.34146341463414637,0.6448199990637142,0.6847877358490566,0.622421875,281,0.9039145907473308,0.9039145907473309,0.9039145907473309,281,adaboost,,0.4375,0.28,0.8941985435591954,0.888074095212516,0.9039145907473309,281
